company_id,year,return_on_equity_pct,return_on_capital_employed_pct,net_profit_margin_pct,operating_profit_margin_pct,debt_to_equity,interest_coverage,asset_turnover,sales,net_profit,eps,dividend_payout,net_cash_flow,market_cap_crore,pe_ratio,pb_ratio,dividend_yield_pct,broad_sector,peer_group_name,composite_quality_score
WIPRO,2021.0,19.795632137848127,0.0,17.547428755953824,23.849196738516188,0.190360831314548,33.7426326129666,0.7501271709904803,61935.0,10868.0,10.0,5.0,2556.0,,,,,,,0
DIVISLAB,2017.0,19.787194325182007,0.0,26.08267716535433,35.67913385826771,0.006720179204778794,507.3333333333333,0.6602761982128351,4064.0,1060.0,40.0,25.0,13.0,,,,,Healthcare,Pharmaceuticals,0
BOSCHLTD,2017.0,19.786339356745085,0.0,16.684235745088642,18.811691423095354,0.0,106.48148148148148,0.8843220338983051,10435.0,1741.0,570.0,29.0,33.0,,,,,Consumer Discretionary,,0
UNITDSPR,2024.0,19.77250386181716,0.0,12.437063863616288,17.66628389718223,0.03721387445583486,29.05263157894737,1.0129742304939156,11321.0,1408.0,19.0,46.0,937.0,,,,,,,0
MOTHERSON,2013.0,19.746614242027086,0.0,1.7867025061269666,5.850264843070598,2.142420270860638,7.192,1.9858701624931314,25298.0,452.0,1.0,26.0,142.0,,,,,Consumer Discretionary,,0
DRREDDY,2024.0,19.74233736816026,0.0,19.913605369319196,28.321016743422227,0.07085722375592836,51.707602339181285,0.7223053120165034,28011.0,5578.0,67.0,12.0,133.0,2441803.28,11.73,10.19,0.09,Healthcare,Pharmaceuticals,0
TVSMOTOR,2020.0,19.70758452634785,0.0,3.4325428404689906,12.011247281022866,3.5306122448979593,2.6619883040935672,0.9780510585305106,18849.0,647.0,13.0,27.0,902.0,170247.22,24.28,4.64,1.29,Consumer Discretionary,Automobiles,0
APOLLOHOSP,2022.0,19.704783923172684,0.0,7.556434563186251,14.928732183045762,0.723457229237062,6.746701846965699,1.1057235502601614,14663.0,1108.0,73.0,16.0,158.0,1499729.8,53.27,1.11,1.32,Healthcare,,0
RECLTD,2016.0,19.69681237670024,0.0,23.589637305699483,93.03626943005182,5.856505035821825,1.5718386780562947,0.11657686825001812,24125.0,5691.0,22.0,30.0,1257.0,,,,,Financials,,0
RECLTD,2022.0,19.558015356432943,0.0,25.55250025460841,87.68204501476728,6.490295046186226,1.5645548954695931,0.09559460643528209,39276.0,10036.0,38.0,30.0,-1038.0,362149.73,77.79,3.64,4.17,Financials,,0
GODREJCP,2016.0,19.475041012420906,0.0,9.864672364672366,19.669990503323838,0.67752519334427,10.8984375,0.8703378448186796,8424.0,831.0,8.0,24.0,23.0,,,,,Consumer Staples,FMCG,0
ICICIGI,2020.0,19.46527551353114,0.0,10.367283146652774,84.61404879742989,0.07906749266384089,650.6666666666666,0.3109173370768317,11517.0,1194.0,26.0,13.0,-369.0,742801.33,47.5,3.75,3.28,Financials,,0
IOC,2021.0,19.458502476796795,0.0,5.9793927737326555,10.971012501717269,1.043017578998194,15.214797136038186,1.0247926903095919,363950.0,21762.0,15.0,51.0,-653.0,1309862.08,50.51,10.81,3.46,Energy,Oil & Gas,0
DIVISLAB,2019.0,19.448037947391118,0.0,27.355438738374442,37.88920339668419,0.015236452493891045,405.6,0.6154803384768541,4946.0,1353.0,51.0,31.0,23.0,1011018.76,74.55,13.82,0.22,Healthcare,Pharmaceuticals,0
EICHERMOT,2023.0,19.43962641761174,0.0,20.177260767206757,23.8609610857222,0.019212808539026016,155.5,0.7522658610271903,14442.0,2914.0,107.0,35.0,8.0,229241.72,24.82,5.49,2.27,Consumer Discretionary,Automobiles,0
ICICIGI,2019.0,19.425925925925927,0.0,9.39711547075159,85.04882200125414,0.08981481481481482,-4754.5,0.3341915396820645,11163.0,1049.0,23.0,26.0,-190.0,827632.41,63.73,12.4,2.98,Financials,,0
WIPRO,2016.0,19.410553689457146,0.0,17.47911950667395,21.06783233159004,0.2713620110521183,24.27956989247312,0.7157982958513759,51244.0,8957.0,7.0,17.0,-6032.0,,,,,,,0
ICICIGI,2021.0,19.38412949072246,0.0,12.112490749116027,82.97015048104596,0.06382418739307803,842.25,0.3094559519568426,12161.0,1473.0,32.0,25.0,195.0,816329.22,55.8,11.08,1.18,Financials,,0
