company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,return_on_assets_pct,return_on_capital_employed_pct,quality_score,quality_rank
BRITANNIA,2024.0,12.725863199952292,18.886039716142882,54.14869322506978,0.5239786856127886,20.597560975609756,1.8484347442680775,23.522927689594354,0.0,90.39748411461642,9.0
BRITANNIA,2022.0,10.724391624221845,15.570175438596493,59.26505082095387,0.9698983580922595,16.82638888888889,1.8780390593862097,20.14082635844294,0.0,90.13026880361866,8.0
HAVELLS,2016.0,17.118777982617857,10.481959441664472,42.94681202510737,0.04426825239511067,19.175824175824175,1.7310234784590837,29.63300661043994,0.0,89.69859661816517,9.0
COALINDIA,2023.0,22.94578016954547,68.00624945751237,52.13911214108443,0.07118320924346268,14.33719512195122,0.6244557263907207,14.328623823375308,0.0,89.4135161340052,8.0
BRITANNIA,2021.0,14.091047503045068,19.10018270401949,52.17023675310034,0.5980834272829764,25.423423423423422,1.642,23.1375,0.0,89.3987842561454,7.0
JIOFIN,2024.0,86.52291105121293,84.04312668463612,1.153456416595399,0.0,198.8,0.012805202156520298,1.1079433671814058,0.0,88.78431083498974,10.0
BRITANNIA,2015.0,8.768134385339781,11.071519470603207,55.34136546184739,0.11646586345381527,274.5,2.8134622269960614,24.668814894378805,0.0,88.77831474156596,7.0
IRCTC,2023.0,28.410053657158997,36.0350183563965,40.597255851493145,0.03389830508474576,89.0,0.6958145018667715,19.768127333464335,0.0,88.77543684211648,9.0
TCS,2015.0,21.194320006761895,25.866368016228552,39.616865804285574,0.007070208353905401,271.1730769230769,1.2909244660247143,27.36026623748602,0.0,88.1714520485335,8.0
IRCTC,2022.0,35.125066524747204,46.514103246407664,35.294117647058826,0.05614973262032086,86.0,0.4837796086508754,16.992790937178167,0.0,87.4119751089842,9.0
COALINDIA,2024.0,26.25628846856468,66.29380849329698,45.16982956605826,0.0788468512027076,11.24178180085755,0.6018691588785047,15.802850255846407,0.0,87.22896829046935,11.0
DLF,2018.0,66.75115550916952,35.455494259728646,12.678768655659708,0.49534139503270935,4.1003049813622505,0.11070396962944623,7.3896178922175455,0.0,86.81954205704677,8.0
TCS,2020.0,20.673594607165384,26.829734499741953,38.56952666238737,0.09716377814231035,50.54220779220779,1.3065255937466183,27.010580469003635,0.0,86.25370173855639,8.0
TCS,2013.0,22.346758957913288,28.639921256092332,36.51740777253152,0.008613085663882115,400.375,1.2129130401294,27.104675344681507,0.0,85.9688420751263,8.0
EICHERMOT,2016.0,21.675036449052325,27.37728819050705,36.627429509991785,0.006296194908294552,1008.0,1.2498481473982588,27.090504150637777,0.0,85.39297010968188,10.0
TCS,2019.0,21.549469831971216,26.973365286795982,35.28609440332715,0.000693155646982537,221.2979797979798,1.2858798430215714,27.710028884733234,0.0,84.5455931200316,11.0
TCS,2016.0,22.401192864900686,28.2357380851573,34.2441467807294,0.0034472084646555608,1023.060606060606,1.23054444960415,27.565663544415624,0.0,84.21100319004572,11.0
LICI,2023.0,4.5877791768838225,4.359645590012082,77.85997015119071,0.0,545.5454545454545,0.17137262036771503,0.7862197392110195,0.0,83.23396906728556,10.0
TCS,2021.0,19.833472410873632,28.351108864213625,37.67311096456215,0.09018546157139055,76.0784929356358,1.2629777217059512,25.04923379900302,0.0,82.5558171744388,8.0
PNB,2024.0,8.395910695456838,,61.320565191187306,3.684256345007701,,1.5070262950629396,12.652858189053626,0.0,82.36933407569776,12.0
JIOFIN,,81.65650406504065,77.79471544715447,,,,,,,81.65650406504065,
LTIM,2013.0,14.593612048818489,22.591534666320438,41.97162061239731,0.17475728155339806,42.476190476190474,1.654209621993127,24.140893470790378,0.0,80.70612613200618,9.0
ITC,2014.0,25.49425026907608,37.04752733246474,33.04695818188493,0.00888497264750156,484.3448275862069,0.8643262828045437,22.035350567959263,0.0,80.57655901892028,9.0
COALINDIA,2020.0,17.38134887593672,77.53955037468776,51.93270516528283,0.20008085331343098,11.56455617628802,0.64044794027463,11.131849086788428,0.0,80.44590312800798,9.0
DIVISLAB,2022.0,33.035714285714285,43.359375,25.2387448840382,0.00034106412005457026,1998.5,0.6706586826347305,22.15568862275449,0.0,80.43014779250697,10.0
LTIM,2016.0,14.300376325692781,17.584673280875812,39.34117647058824,0.02588235294117647,202.5,1.8635639145680587,26.64966528530443,0.0,80.29121808158544,12.0
ITC,2024.0,29.282025230717128,37.0177518132814,27.851074395694365,0.004066731984914169,362.9625,0.7723477995509732,22.61590775334045,0.0,79.74900737975194,13.0
ITC,2013.0,24.36586754380416,35.48927825921943,33.26712151308403,0.0044045254339753,111.78703703703704,0.8949588157038127,21.80644796059894,0.0,79.43943701748712,10.0
BAJAJ-AUTO,2013.0,15.645443196004994,18.257178526841447,38.84686918784873,0.014383137011779294,4446.0,1.5840056953013764,24.782471127986078,0.0,79.2747835118398,11.0
ADANIPORTS,2013.0,45.820519988817445,66.59211629857423,25.633406318423525,1.817328745699093,5.029520295202952,0.17004991680532447,7.791775612075114,0.0,79.24570191931608,12.0
LTIM,2015.0,15.447971072719968,20.188830855765367,37.95656465942744,0.10760118460019744,110.4,1.671591672263264,25.822699798522496,0.0,79.2272355306699,9.0
